CustomerID,CustomerName,Location,FirstPurchaseDate,LastPurchaseDate,TotalOrders
1,Anita Lee,Port Autumn,2022-03-18,2023-07-11,8
2,Brittany Skinner,New Jillianton,2022-01-31,2023-08-27,16
3,Oscar Davis,New Amy,2023-06-30,2024-01-09,5
4,Laura Nguyen,Lauriechester,2022-03-22,2022-05-23,7
5,Christina Harvey,South Johnfort,2023-12-26,2024-01-09,17
6,Stacy Gonzales,Annaview,2022-04-23,2022-09-10,8
7,Ronald Patterson,Port Angelaborough,2023-12-17,2024-01-16,18
8,Shelia Byrd,East Tracyville,2023-03-03,2023-03-20,20
9,Justin Warren,Williamshaven,2022-04-11,2022-09-23,2
10,Carrie Price,Martinland,2023-04-10,2024-01-28,1
11,Johnny Jimenez,West Lindaton,2023-02-15,2023-03-29,17
12,Christopher Acosta,Lake Timothy,2023-05-27,2023-08-22,1
13,William Dunn,Laurafurt,2023-08-20,2023-09-23,11
14,Willie Allen,Loweberg,2022-01-20,2023-12-13,1
15,Ryan Morgan,Lake Nathanshire,2023-01-01,2023-02-21,15
16,Jonathan Walter,Lake Ashleyview,2023-10-27,2023-12-03,9
17,Mark Guzman,Baileyhaven,2023-06-08,2023-08-05,14
18,Valerie Bowers,Gardnerside,2022-08-25,2023-01-23,12
19,Amy Weeks,Mooremouth,2023-09-11,2024-01-12,1
20,Vanessa Jackson,Lake Anthony,2023-11-03,2023-12-07,17
21,Deborah Brewer,Kristinville,2022-06-08,2023-09-26,12
22,Robert Wilson,New Sarah,2022-01-22,2022-06-26,5
23,George Mason,Port Jenniferland,2023-09-25,2023-11-17,20
24,Charlene Smith,Carterhaven,2022-05-06,2022-08-04,13
25,Robert Waters,Perezberg,2023-03-22,2023-09-23,3
26,April Meyer,East Alexfurt,2023-02-17,2023-10-21,15
27,Mary Griffin DVM,Nelsonview,2022-10-11,2023-06-21,16
28,Sierra Collins,West Thomas,2022-04-21,2023-03-20,18
29,Brianna Kerr,Bobbytown,2024-01-13,2024-01-21,4
30,Joseph Hodges,South Linda,2022-07-06,2022-12-17,16
31,Joshua Torres,Jenningsburgh,2022-10-14,2023-02-28,15
32,Christopher Jensen,North Andrea,2022-06-17,2022-08-15,3
33,Kelly Doyle,Wrightfort,2022-06-01,2023-08-10,16
34,Katherine Sanchez,North Nicholas,2023-06-10,2024-01-09,19
35,Christopher Hines,Lake Michael,2022-04-15,2022-11-29,18
36,Frank Estrada,Loriberg,2023-05-18,2024-01-01,15
37,Christine Sloan,Coreystad,2022-01-16,2022-05-16,17
38,Jonathan Rasmussen,East Jonathanberg,2022-12-28,2023-12-10,15
39,Shane Smith,Jacobmouth,2022-11-22,2023-07-24,13
40,Stephanie Collins,Port Danielburgh,2023-08-27,2023-12-31,19
41,Jessica Davidson,Lisashire,2022-04-20,2022-12-04,18
42,Michelle Hicks,Tammyfurt,2022-09-20,2023-09-22,6
43,Mrs. Nicole Vaughan,East Ryanmouth,2022-06-13,2022-07-11,3
44,Derrick Smith,West Bonnie,2023-06-09,2023-07-27,12
45,Shannon Valencia,New Lindseyburgh,2023-08-22,2023-11-02,12
46,Sabrina Alvarez,East Kaylaside,2023-07-12,2023-11-14,14
47,Jeffrey Kennedy,West Misty,2023-12-20,2024-01-19,3
48,Nicholas Baker,Charleneberg,2022-02-06,2023-05-10,4
