Employee ID,Name,Gender,Age,Department,Job Title,Salary,Education,Marital Status,Date of Joining,Last Working Day,Employment Status,Reason for Leaving,Performance Score,Years at Company,Number of Projects,Promotion in Last 5 Years
6609,Melissa Hoover,Other,27,sales,Coordinator,66048,Bachelors,Single,11/3/2021,3/2/2022,Active,,Poor,1,10,No
3164,Lisa Jackson MD,Other,54,R&D,Executive,88878,Masters,Single,11/3/2016,,Active,,Good,6,6,No
1674,Emma Martin,Male,42,Operations,Lead,64671,High School,Divorced,4/17/2016,,Active,,Excellent,6,2,No
7039,Angela Acevedo,Other,24,Sales,Coordinator,59871,Masters,Single,6/22/2022,,Active,,Excellent,6,5,No
6009,Ryan Hood,Female,24,IT,Lead,62087,Bachelors,Married,5/6/2015,,Active,,Poor,3,11,No
4449,Elizabeth Smith,Female,45,Marketing,Manager,57653,Masters,Single,3/11/2016,,Active,,Below Average,10,8,Yes
6988,Gerald Smith,Other,47,R&D,Analyst,58746,Bachelors,Divorced,9/14/2023,,Active,,Excellent,1,3,Yes
8638,Suzanne Edwards,Female,53,Marketing,Lead,,High School,Divorced,2/21/2019,,Active,,Average,10,6,Yes
6272,Michael Harvey Jr.,Other,36,IT,Lead,43947,unknown,Divorced,9/18/2015,,Active,,Good,2,6,Yes
2847,Matthew Freeman,Female,51,Sales,Manager,77576,Masters,Single,6/17/2022,2/13/2025,Resigned,Career Change,Excellent,7,14,Yes
9934,Elizabeth Gardner,Other,30,Marketing,Lead,109507,PhD,Single,12/27/2020,,Active,,Good,4,7,No
8118,Andrew Gordon,Female,21,Finance,Lead,58864,High School,Single,7/23/2015,,Active,,Excellent,3,2,Yes
7105,Christopher Mendoza,Male,54,IT,Coordinator,104847,PhD,Single,12/31/2020,,Active,,Below Average,3,2,Yes
5922,Kimberly Kerr DDS,Male,26,Sales,Assistant,74473,High School,Single,12/15/2015,5/2/2019,Resigned,Personal Reasons,Good,6,3,No
7918,Ryan Griffin,Other,26,Sales,Coordinator,100855,High School,Single,2/17/2023,,Active,,Good,2,7,No
5197,Darryl Shannon,Male,44,Marketing,Assistant,67388,PhD,Divorced,8/7/2023,,Active,,Poor,10,12,No
9939,Terri Rogers,Other,23,Operations,Manager,36572,PhD,Divorced,8/18/2018,,Active,,Poor,2,1,Yes
7078,Robin Frank,Female,27,Finance,Lead,107924,High School,Divorced,2/17/2021,10/22/2024,Resigned,Retirement,Poor,8,6,No
4414,Michael Hernandez,Other,39,Admin,Analyst,39508,High School,Married,1/19/2023,,Active,,Poor,1,2,Yes
9770,Sara Beltran,Male,43,Marketing,Executive,87433,Masters,Divorced,2/13/2021,,Active,,Poor,0,11,No
